Group,Traffic-lights
Group-40096,90964
Group-31596,76855
Group-58109,17689
Group-30954,57270
Group-77015,80968
Group-34370,72189
Group-80604,38118
Group-40750,27059
Group-97502,21981
Group-52023,60262
Group-40096,63185
Group-31596,95903
Group-58109,48311
Group-30954,60521
Group-77015,64027
Group-34370,75449
Group-80604,75358
Group-40750,61768
Group-97502,79693
Group-52023,37349
Group-40096,66759
Group-31596,91178
Group-58109,47288
Group-30954,48947
Group-77015,95123
Group-34370,51416
Group-80604,12049
Group-40750,71196
Group-97502,95755
Group-52023,02486
Group-40096,03167
Group-31596,21778
Group-58109,45520
Group-30954,66049
Group-77015,41449
Group-34370,35947
Group-80604,30591
Group-40750,77211
Group-97502,39118
Group-52023,77247
